ITEMID,LABEL,ABBREVIATION,UNITNAME,PARAM_TYPE,LOWNORMALVALUE,HIGHNORMALVALUE,LINKSTO,CATEGORY,FLUID,COUNT,USE_IN_BENCHMARK
50803,"Calculated Bicarbonate, Whole Blood",,mEq/L,,,,labevents,Blood Gas,Blood,32994,1
50809,Glucose,,mg/dL,,,,labevents,Blood Gas,Blood,281398,1
50810,"Hematocrit, Calculated",,%,,,,labevents,Blood Gas,Blood,144060,1
50811,Hemoglobin,,g/dL,,,,labevents,Blood Gas,Blood,144055,1
50813,Lactate,,mmol/L,,,,labevents,Blood Gas,Blood,670016,1
50817,Oxygen Saturation,,%,,,,labevents,Blood Gas,Blood,239559,1
50818,pCO2,,mm Hg,,,,labevents,Blood Gas,Blood,698217,1
50820,pH,,units,,,,labevents,Blood Gas,Blood,754141,1
50821,pO2,,mm Hg,,,,labevents,Blood Gas,Blood,698483,1
50861,Alanine Aminotransferase (ALT),,IU/L,,,,labevents,Chemistry,Blood,1826482,1
50862,Albumin,,g/dL,,,,labevents,Chemistry,Blood,1032456,1
50863,Alkaline Phosphatase,,IU/L,,,,labevents,Chemistry,Blood,1602599,1
50878,Asparate Aminotransferase (AST),,IU/L,,,,labevents,Chemistry,Blood,1793910,1
50882,Bicarbonate,,mEq/L,,,,labevents,Chemistry,Blood,3934240,1
50885,"Bilirubin, Total",,mg/dL,,,,labevents,Chemistry,Blood,1605452,1
50907,"Cholesterol, Total",,mg/dL,,,,labevents,Chemistry,Blood,322767,1
50912,Creatinine,,mg/dL,,,,labevents,Chemistry,Blood,4319091,1
50931,Glucose,,mg/dL,,,,labevents,Chemistry,Blood,3621769,1
50954,Lactate Dehydrogenase (LD),,IU/L,,,,labevents,Chemistry,Blood,648428,1
50960,Magnesium,,mg/dL,,,,labevents,Chemistry,Blood,2933221,1
50971,Potassium,,mEq/L,,,,labevents,Chemistry,Blood,4149507,1
50983,Sodium,,mEq/L,,,,labevents,Chemistry,Blood,4111289,1
51003,Troponin T,,ng/mL,,,,labevents,Chemistry,Blood,459872,1
51006,Urea Nitrogen,,mg/dL,,,,labevents,Chemistry,Blood,4202807,1
51221,Hematocrit,,%,,,,labevents,Hematology,Blood,4331615,1
51222,Hemoglobin,,g/dL,,,,labevents,Hematology,Blood,4181121,1
51265,Platelet Count,,K/uL,,,,labevents,Hematology,Blood,4214048,1
51300,WBC Count,,K/uL,,,,labevents,Hematology,Blood,29574,1
51301,White Blood Cells,,K/uL,,,,labevents,Hematology,Blood,4157284,1
51638,Hematocrit,,%,,,,labevents,Chemistry,Blood,1289,1
51639,Hematocrit,,%,,,,labevents,Chemistry,Blood,17,1
51640,Hemoglobin,,g/dL,,,,labevents,Chemistry,Blood,17,1
51755,White Blood Cells,,K/uL,,,,labevents,Chemistry,Blood,546,1
51756,White Blood Cells,,K/uL,,,,labevents,Chemistry,Blood,17,1
52028,Hematocrit,,,,,,,Blood Gas,Blood,0,1
52157,Plasma Hemoglobin,,,,,,,Hematology,Blood,0,1
52546,Creatinine,,mg/dL,,,,labevents,Chemistry,Blood,1273,1
52569,Glucose,,mg/dL,,,,labevents,Chemistry,Blood,1309,1
52610,Potassium,,mEq/L,,,,labevents,Chemistry,Blood,1310,1
52623,Sodium,,mEq/L,,,,labevents,Chemistry,Blood,1309,1
52642,Troponin I,,ng/mL,,,,labevents,Chemistry,Blood,670,1
52647,Urea Nitrogen,,mg/dL,,,,labevents,Chemistry,Blood,1235,1
53084,Alanine Aminotransferase,,IU/L,,,,labevents,Chemistry,Blood,69,1
53085,Albumin,,mg/dL,,,,labevents,Chemistry,Blood,69,1
53086,Alkaline Phosphatase,,IU/L,,,,labevents,Chemistry,Blood,69,1
53088,Asparate Aminotransferase,,IU/L,,,,labevents,Chemistry,Blood,69,1
53089,"Bilirubin, Total",,mg/dL,,,,labevents,Chemistry,Blood,69,1
53154,Lactate,,mmol/L,,,,labevents,Chemistry,Blood,104,1
53189,Platelet Count,,K/uL,,,,labevents,Chemistry,Blood,17,1
220050,Arterial Blood Pressure systolic,ABPs,mmHg,Numeric,90,140,chartevents,Routine Vital Signs,,3087686,1
220051,Arterial Blood Pressure diastolic,ABPd,mmHg,Numeric,60,90,chartevents,Routine Vital Signs,,3087261,1
220052,Arterial Blood Pressure mean,ABPm,mmHg,Numeric,,,chartevents,Routine Vital Signs,,3096934,1
220179,Non Invasive Blood Pressure systolic,NBPs,mmHg,Numeric,,,chartevents,Routine Vital Signs,,5378740,1
